"Chromosome","Gene","Position","Strand","CX","PerMeth_S1","Meth_S1","UnMeth_S1","PerMeth_S2","Meth_S2","UnMeth_S2","PerMeth_S3","Meth_S3","UnMeth_S3","PerMeth_S4","Meth_S4","UnMeth_S4","NAs","Zeroth_pos","Zoom_co","Target_info"
"NC_003070.9","AT1G01640",220908,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11722,2,"T"
"NC_003070.9","AT1G01640",220910,"-","CG",20,2,8,0,0,13,0,0,1,0,0,6,0,11720,2,"T"
"NC_003070.9","AT1G01640",220913,"-","CG",10,1,9,0,0,12,0,0,1,0,0,6,0,11717,2,"T"
"NC_003070.9","AT1G01640",220914,"-","CHG",0,0,10,0,0,13,0,0,1,0,0,6,0,11716,2,"T"
"NC_003070.9","AT1G01640",220916,"-","CHH",9,1,10,0,0,13,0,0,1,0,0,6,0,11714,2,"T"
"NC_003070.9","AT1G01640",220925,"-","CG",20,2,8,0,0,12,0,0,1,0,0,4,0,11705,2,"T"
"NC_003070.9","AT1G01640",220926,"-","CHG",0,0,11,0,0,13,0,0,1,0,0,6,0,11704,2,"T"
"NC_003070.9","AT1G01640",220932,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11698,2,"T"
"NC_003070.9","AT1G01640",220937,"-","CG",0,0,10,0,0,12,NA,0,0,0,0,5,3,11693,2,"T"
"NC_003070.9","AT1G01640",220938,"-","CHG",0,0,11,0,0,13,0,0,1,0,0,6,0,11692,2,"T"
"NC_003070.9","AT1G01640",220940,"-","CG",0,0,10,0,0,13,0,0,1,0,0,6,0,11690,2,"T"
"NC_003070.9","AT1G01640",220946,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11684,2,"T"
"NC_003070.9","AT1G01640",220947,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11683,2,"T"
"NC_003070.9","AT1G01640",220949,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11681,2,"T"
"NC_003070.9","AT1G01640",220952,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11678,2,"T"
"NC_003070.9","AT1G01640",220953,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11677,2,"T"
"NC_003070.9","AT1G01640",220955,"-","CG",0,0,9,0,0,12,0,0,1,0,0,6,0,11675,2,"T"
"NC_003070.9","AT1G01640",220958,"-","CG",0,0,10,0,0,12,0,0,1,0,0,6,0,11672,2,"T"
"NC_003070.9","AT1G01640",220961,"-","CG",0,0,10,0,0,12,0,0,1,0,0,5,0,11669,2,"T"
"NC_003070.9","AT1G01640",220975,"-","CG",0,0,10,0,0,12,0,0,1,0,0,6,0,11655,2,"T"
"NC_003070.9","AT1G01640",220976,"-","CHG",0,0,11,0,0,13,0,0,1,0,0,6,0,11654,2,"T"
"NC_003070.9","AT1G01640",220977,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11653,2,"T"
"NC_003070.9","AT1G01640",220979,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11651,2,"T"
"NC_003070.9","AT1G01640",220982,"-","CHH",0,0,11,0,0,12,0,0,1,0,0,5,0,11648,2,"T"
"NC_003070.9","AT1G01640",220985,"-","CHG",0,0,10,0,0,13,0,0,1,0,0,6,0,11645,2,"T"
"NC_003070.9","AT1G01640",220987,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11643,2,"T"
"NC_003070.9","AT1G01640",220988,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11642,2,"T"
"NC_003070.9","AT1G01640",220997,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11633,2,"T"
"NC_003070.9","AT1G01640",220998,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6,0,11632,2,"T"
"NC_003070.9","AT1G01640",221007,"-","CG",0,0,11,0,0,12,0,0,1,0,0,6,0,11623,2,"T"
"NC_003070.9","AT1G01640",221013,"-","CHG",0,0,11,0,0,12,0,0,1,0,0,6,0,11617,2,"T"
"NC_003070.9","AT1G01640",221051,"-","CHH",0,0,11,10,1,9,NA,0,0,33,2,4,3,11579,2,"T"
"NC_003070.9","AT1G01640",221061,"-","CHH",0,0,11,0,0,11,NA,0,0,0,0,6,3,11569,2,"T"
"NC_003070.9","AT1G01640",221074,"-","CHG",0,0,12,0,0,11,NA,0,0,0,0,6,3,11556,2,"T"
"NC_003070.9","AT1G01640",221078,"-","CHH",0,0,12,0,0,11,NA,0,0,0,0,6,3,11552,2,"T"
"NC_003070.9","AT1G01640",221087,"-","CHH",0,0,12,0,0,11,NA,0,0,0,0,6,3,11543,2,"T"
"NC_003070.9","AT1G01640",221096,"-","CHH",0,0,11,0,0,11,NA,0,0,0,0,5,3,11534,2,"T"
"NC_003070.9","AT1G01640",221102,"-","CHH",0,0,12,0,0,11,NA,0,0,0,0,5,3,11528,2,"T"
"NC_003070.9","AT1G01640",221106,"-","CHH",0,0,12,0,0,11,NA,0,0,0,0,5,3,11524,2,"T"
"NC_003070.9","AT1G01640",221119,"-","CHG",0,0,11,0,0,11,NA,0,0,0,0,5,3,11511,2,"T"
"NC_003070.9","AT1G01640",221122,"-","CG",10,1,9,0,0,10,NA,0,0,0,0,5,3,11508,2,"T"
"NC_003070.9","AT1G01640",221133,"-","CHH",8,1,11,0,0,11,NA,0,0,0,0,5,3,11497,2,"T"
"NC_003070.9","AT1G01640",221137,"-","CHH",0,0,12,0,0,11,NA,0,0,20,1,4,3,11493,2,"T"
"NC_003070.9","AT1G01640",221143,"-","CHH",0,0,12,0,0,10,NA,0,0,0,0,5,3,11487,2,"T"
"NC_003070.9","AT1G01640",221160,"-","CHH",0,0,12,0,0,11,NA,0,0,0,0,5,3,11470,2,"T"
"NC_003070.9","AT1G01640",221171,"-","CG",33,2,4,56,5,4,NA,0,0,33,1,2,3,11459,2,"T"
"NC_003070.9","AT1G01640",221172,"-","CHG",0,0,11,0,0,12,NA,0,0,0,0,5,3,11458,2,"T"
"NC_003070.9","AT1G01640",221173,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,5,3,11457,2,"T"
"NC_003070.9","AT1G01640",221197,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,5,3,11433,2,"T"
"NC_003070.9","AT1G01640",221214,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11416,2,"T"
"NC_003070.9","AT1G01640",221220,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,5,3,11410,2,"T"
