"Chromosome","Position","Strand","CX","PerMeth_S1","Meth_S1","UnMeth_S1","PerMeth_S2","Meth_S2","UnMeth_S2","PerMeth_S3","Meth_S3","UnMeth_S3","PerMeth_S4","Meth_S4","UnMeth_S4"
"NC_003070.9",220908,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220909,"+","CG",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"NC_003070.9",220910,"-","CG",20,2,8,0,0,13,0,0,1,0,0,6
"NC_003070.9",220912,"+","CG",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",220913,"-","CG",10,1,9,0,0,12,0,0,1,0,0,6
"NC_003070.9",220914,"-","CHG",0,0,10,0,0,13,0,0,1,0,0,6
"NC_003070.9",220916,"-","CHH",9,1,10,0,0,13,0,0,1,0,0,6
"NC_003070.9",220918,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",220924,"+","CG",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",220925,"-","CG",20,2,8,0,0,12,0,0,1,0,0,4
"NC_003070.9",220926,"-","CHG",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220928,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",220932,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220936,"+","CG",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",220937,"-","CG",0,0,10,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",220938,"-","CHG",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220939,"+","CG",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",220940,"-","CG",0,0,10,0,0,13,0,0,1,0,0,6
"NC_003070.9",220946,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220947,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220949,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220952,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220953,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220954,"+","CG",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",220955,"-","CG",0,0,9,0,0,12,0,0,1,0,0,6
"NC_003070.9",220957,"+","CG",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",220958,"-","CG",0,0,10,0,0,12,0,0,1,0,0,6
"NC_003070.9",220959,"+","CHG",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
